 KLASSEN & MELZER
 MEZINCESCU & NEPOMECHIE
 MIRAMONTES & GUILLEN
 ARGYRES & GROCHOCINSKI & TYE
 ROCEK & VERLINDE
 BARS & SFETSOS
 NEMESCHANSKY & WARNER
 DOREY
 VAZQUEZ-BELLO
 KNEIPP
 CRESCIMANNO
 POLYCHRONAKOS
 HORAVA
 TANII & YAMAGUCHI
 ALVAREZ & LABASTIDA
 PESANDO & TOLLSTEN
 ISHIBASHI
 BALACHANDRAN & BIMONTE & GUPTA & STERN
 DE BOER & GOEREE
 HINRICHSEN & RITTENBERG
 PARKES
 EGUCHI
 LU & POPE & WANG & XU
 YANG
 SALEUR
 SALEUR
 KALLOSH
 JONSSON
 MINAHAN
 FENDLEY & INTRILIGATOR
 HAAGENSEN
 ALDAZABAL & ALLEKOTTE & FONT & NUNEZ
 BOURDEAU & MLAWER & RIGGS & SCHNITZER
 DAS & DHAR & MANDAL & WADIA
 CARDY
 CASELLE & PONZANO & RAVANINI
 AVAN & JEVICKI
 EVANS & GIANNAKIS
 D'ADDA
 ELLIS & MAVROMATOS & NANOPOULOS
 SPENCE
 YOST
 MOORE & PLESSER & RAMGOOLAM
 KHARCHEV & MARSHAKOV & MIRONOV & MOROZOV & ZABRODIN
 MCGUIGAN & NAPPI & YOST
 BARS & SFETSOS
 TJIN
 MOHAMMEDI
 DEPIREUX & MATHIEU
 BIENKOWSKA
 YOSHII
 CALLAN & GIDDINGS & HARVEY & STROMINGER
 ODAKE
 GOMIS & SUZUKI
 CASELLE & GLIOZZI
 AHN
 BOWCOCK & WATTS
 KAUL & GOVINDARAJAN
 DALLEY
 RAITEN
 SCHMIDHUBER
 SCHELLEKENS
 DELIUS & GRISARU & ZANON
 LEE & NAIR & WEINBERG
 MARCUS & OZ & YANKIELOWICZ
 KALARA & LOPEZ & NANOPOULOS
 LU & POPE & WANG & XU
 DIENES & TYE
 MIRAMONTES & GUILLEN
 ALVAREZ-GAUME & ITOYAMA & MANES & ZADRA
 JACKIW & KABAT & ORTIZ
 WONG
 GHOSHAL & MAHAPATRA
 LASSIG
 GOVINDARAJAN & JAYARAMAN & JOHN & MAJUMDAR
 BASTIANELLI
 BASTIANELLI
 BOUWKNEGT & MCCARTHY & PILCH
 ALFORD & LEE & MARCH-RUSSELL & PRESKILL
 BUCHER & LO & PRESKILL
 BUCHER & LEE & PRESKILL
 GASPERINI & VENEZIANO
 LECHTENFELD
 KREUZER & SCHIMMRIGK & SKARKE
 ZINN-JUSTIN
 FERRARA & LOUIS
 LABASTIDA & LLATAS
 SYSTEMS
 AHN & SHIGEMOTO
 SPACE
 DE BOER & GOEREE
 DANIELSSON
 ELLIS & MAVROMATOS & NANOPOULOS
 FRANCESCO & MATHIEU & SENECHAL
 BLAU & THOMPSON
 DOWKER & GREGORY & TRASCHEN
 GIVEON & ROCEK
 OOGURI
 FUCITO & GAMBA & MARTELLINI & RAGNISCO
 BERKOVITS
 KLEBANOV
 BERNARD
 CVETIC & GRIFFIES & REY
 MATSUDA
 SILVERSTEIN
 MARSHAKOV & MIRONOV & MOROZOV
 MIRONOV & ZABRODIN
 KHARCHEV & MARSHAKOV & MIRONOV & MOROZOV & ZABRODIN
 KAR & KHASTGIR & KUMAR
 CASTELLANI
 SEIBERG & SHENKER
 DIXON & DUFF & SEZGIN
 GALPERIN & STELLE
 RUSSO & TSEYTLIN
 ARATYN & FERREIRA & GOMES & ZIMERMAN
 ISIDRO & LABASTIDA & RAMALLO
 GANNON & LAM
 KALLOSH
 FERREIRA & GOMES & RICOTTA & ZIMERMAN
 RUIZ--ALTABA
 MARTINS
 CHEKHOV & MAKEENKO
 BABELON & TALON
 SPIEGELGLAS & YANKIELOWICZ
 14P
 CARLINI & MARTELLINI
 OSORIO & VAZQUEZ-MOZO
 KHURI & LA
 BALACHANDRAN & BIMONTE & GUPTA & STERN
 SMITH
 LU & POPE & SCHRANS & XU
 MAHARANA & MUKHERJI
 DE ALWIS
 GREEN
 WITTEN & ZWIEBACH
 COLEMAN & PRESKILL & WILCZEK
 LINA & PANIGRAHI
 BANKS & DABOLKHAR & DOUGLAS & LOUGHLIN
 BIMONTE & SALOMONSON & SIMONI & STERN
 MATSUMURA & SAKAI & TANII
 DELIUS & GRISARU & ZANON
 MARTELLINI & SPREAFICO & YOSHIDA
 MARTELLINI & SPREAFICO & YOSHIDA
 CHAIR & DOBREV & KANNO
 KACHRU
 RUSSO & SUSSKIND & THORLACIUS
 AMANO & HIGUCHI
 DOYLE
 FURLAN & GANCHEV & PAUNOV & PETKOVA
 CHUNG & TYE
 KAMIONKOWSKI & MARCH-RUSSELL
 GIDDINGS & STROMINGER
 GERSHON
 CHEKHOV & MAKEENKO
 ARGYRES & GROCHOCINSKI & TYE
 HORAVA
 NAGAO
 FENDLEY & INTRILIGATOR
 ISO & KARABALI & SAKITA
 SPIRIDONOV
 HOLZHEY & WILCZEK
 ZWIEBACH
 LINDEN & PERRY
 BRUEGMANN & GAMBINI & PULLIN
 BEN-MENAHEM
 VERLINDE
 TING & LAI
 HOLTEN
 FERRETTI & RAJEEV
 AHN
 WILTSHIRE
 PAPADOPOULOS & SPENCE
 KLASSEN & MELZER
 BILAL
 CUGLIANDOLO & SCHAPOSNIK & VUCETICH
 FIGUEROA-O'FARRILL & RAMOS
 GIROTTI & GOMES & RIVELLES
 LAHIRI
 COHN & DYKSTRA
 BALACHANDRAN & MCGLINN & O'RAIFEARTAIGH & SEN & SORKIN & SRIVASTAVA
 ASHTEKAR & ROVELLI & SMOLIN
 FAIRLIE & GOVAERTS
 ITO & MADSEN
 GAILLARD & TAYLOR
 LU & POPE & SCHRANS & WANG
 BOWCOCK
 RODGERS
 DELIUS & GRISARU & ZANON
 KAUSCH & WATTS
 SHEN
 FREUND & ZABRODIN
 BOULATOV
 BALAKRISHNA & WALI
 ITOH & TANII
 TAKAMA
 CALLAN & FELCE & FREED
 SAROJA & SEN
 ABDALLA & ABDALLA & DALMAZI & HARADA
 SCHIMMRIGK
 COLOMO & KOUBEK & MUSSARDO
 KIRILLOV & MATHIEU & SENECHAL & WALTON
 KAMIMURA & MAKITA & FUKUYAMA
 GIULINI & LOUKO
 GIVEON & SHAPERE
 AMBJORN & CHEKHOV & MAKEENKO
 MUKHERJI
 ELLIS & MAVROMATOS & NANOPOULOS
 CHANG & SOO
 KLEPPE & WOODARD
 ROMANS
 DALLEY
 LAARTZ
 GOMIS & SUZUKI
 JOHNSON & MORRIS & SPENCE
 GIBBONS & ORTIZ & RUIZ & SAMOLS
 LU & POPE & SCHRANS & WANG
 LOPEZ & NANOPOULOS & YUAN
 ZACHOS
 PASQUINUCCI
 HALLER & LOMBRIDAS
 KOSTOV & STAUDACHER
 HORAVA
 BROOKS
 TSEYTLIN
 TAKASAKI
 GOMEZ & SIERRA
 ALDAZABAL & MALDACENA
 IVANOV & UGLOV
 JONGHE & SIEBELINK & TROOST
 GERVAIS & SAVELIEV
 BIRNIR & GIDDINGS & HARVEY & STROMINGER
 KHARCHEV & MARSHAKOV & MIRONOV & MOROZOV
 FRADKIN & LINETSKY
 BAIS & DRIEL & PROPITIUS
 BAIS & DRIEL & PROPITIUS
 BONECHI & CELEGHINI & GIACHETTI & SORACE & TARLINI
 GALPERIN & SOKATCHEV
 CARFORA & MARTELLINI & MARZUOLI
 SUSSKIND & THORLACIUS
 BONACINA & GAMBA & MARTELLINI
 DISTLER & DOYLE
 GIDDINGS
 MOORE & PLESSER
 DEPIREUX
 JATKAR
 CECOTTI & VAFA
 LANO & RODGERS
 ROZANSKY & SALEUR
 HOWE & PAPADOPOULOS
 ANTONIADIS & GAVA & NARAIN
 MAZZITELLI
 PARKES
 ABDALLA & FORGER
 HOLLOWOOD
 TJIN
 GATES & JR & NISHINO & KETOV
 NISHINO & GATES & JR & KETOV
 KETOV & GATES & NISHINO
 KABAT & ORTIZ
 HORNE & HOROWITZ
 FONT
 AURILIA & SPALLUCCI
 BURWICK & CHAMSEDDINE
 ITOYAMA & RAZZAGHE-ASHRAFI
 CANGEMI
 KAR & KUMAR
 MINAHAN
 TORRE
 BURWICK & CHAMSEDDINE & MEISSNER
 IVANOV & KRIVONOS & PICHUGIN
 JAIN & MATHUR
 BREZIN & HIKAMI
 BONORA & XIONG
 GEPNER & SCHWIMMER
 CORIANO'
 MANOJLOVIC & MIKOVIC
 PANVEL
 GREGORY & HARVEY
 LECHTENFELD & NAPPI
 LI
 DHAR & MANDAL & WADIA
 ANTONIADIS & GAVA & NARAIN
 CVETIC & GRIFFIES
 CARLINI & FUCITO & MARTELLINI
 WEISS
 CERESOLE & D'AURIA & FERRARA & LERCHE & LOUIS
 ROCHE
 LU & POPE
 FRE & GIRARDELLO & LERDA & SORIANI
 RAITEN
 NAKATSU & SUGAWARA
 MAGGIORE & SORELLA
 BLASI & MAGGIORE & SORELLA
 SEMENOFF
 ELIEZER & SEMENOFF
 BERSHADSKY & KUTASOV
 NAKATSU & SUGAWARA
 FORSTE
 KLEBANOV & PASQUINUCCI
 KACHRU
 BONECHI & CELEGHINI & GIACHETTI & SORACE & TARLINI
 AOYAMA & TAMURA
 KLEMM & SCHIMMRIGK
 RODRIGUES & TONDER
 SEMIKHATOV
 AULAKH
 AOKI & D'HOKER
 PELDAN
 DELDUC & IVANOV & SOKATCHEV
 GIDDINGS & NELSON
 FERRETTI & RAJEEV & YANG
 FERRETTI & RAJEEV & YANG
 GARCIA-BELLIDO & QUIROS
 CORIANO & PARWANI & YAMAGISHI & ZAHED
 KENT
 LOWE
 GATO-RIVERA & SEMIKHATOV
 DORN & OTTO
 FILIPPOV & ISAEV & KURDIKOV
 GIBBONS & PERRY
 DICKEY
 FENDLEY & SALEUR
 AHARONY & GANOR & SONNENSCHEIN & YANKIELOWICZ
 KENT
 KENT
 MAASSARANI & NEMESCHANSKY & WARNER
 CANGEMI & LEE
 CECOTTI & FENDLEY & INTRILIGATOR & VAFA
 JAIN & OGIEVETSKY
 AWATA & YAMADA
 KREUZER & SKARKE
 BARNICH & HENNEAUX
 GAUNTLETT
 DE WIT & GRISARU & RABINOVICI & NICOLAI
 WATTS
 KORCHEMSKY
 ANTONIADIS & MAZUR & MOTTOLA
 MAHARANA
 HENNEAUX
 AULAKH
 AREF'EVA & ZUBAREV
 HARMS & LEBLANC
 CARLIP
 FABBRICHESI & IENGO & ROLAND
 COHN & PERIWAL
 STROMINGER
 CVETIC & LANGACKER
 TERAO
 SABRA
 FABBRICHESI & ROLAND
 GERVAIS
 LA
 BARS & SFETSOS
 DOREY
 SURANYI
 POLCHINSKI & YANG
 KURAMOTO
 ELIZALDE & ODINTSOV
 ELIZALDE & ODINTSOV
 ELIZALDE & ODINTSOV
 KHURI
 KHURI
 MOHAMMEDI
 LU & POPE & WANG & XU
 D'ADDA
 TSEYTLIN
 KAZAKOV & KOSTOV
 TRASCHEN & FERREL
 KAR & KHASTGIR & SENGUPTA
 BERNARD & LECLAIR
 DOTSENKO
 LEE & NAKAMICHI & UENO
 KAPLUNOVSKY
 DE ALWIS
 AMBJORN & KRISTJANSEN
 BIMONTE & GUPTA & STERN
 MAHAPATRA
 KHURI
 NACULICH & RIGGS & SCHNITZER
 SONODA
 DURAND
 KOBAYASHI & UEMATSU
 BILAL & CALLAN
 OOGURI
 KHURI
 HENNEAUX & TEITELBOIM & VERGARA
 DELIUS & GRISARU & NIEUWENHUIZEN
 DOLAN & LIU
 KOGAN
 SUMIYOSHI
 MONTAG
 DIXON & DUFF
 DISTLER
 CASTELLANI
 ELLIS & MAVROMATOS & NANOPOULOS
 IKEMORI
 ARGYRES & LYMAN & TYE
 PEET & SUSSKIND & THORLACIUS
 KAO & LEE
 BALACHANDRAN & TEOTONIO-SOBRINHO
 AMBJORN & BURDA & JURKIEWICZ & KRISTJANSEN
 AOKI
 YEE
 RENKEN & CATTERALL & KOGUT
 BERKOVICH & SIERRA & GOMEZ
 CVETIC & GRIFFIES & REY
 BARS & SFETSOS
 GIAVARINI & MARTIN & RUIZ
 HUITU
 SHEN & SHENG & WANG
 HIETAMAKI & NIEMI
 CABRA
 MARCUS & OZ
 KAZAKOV & MIGDAL
 SEN
 MIGNEMI & STEWART
 BAULIEU
 DE ALWIS
 GIVEON
 CAPPELLI & TRUGENBERGER & ZEMBA
 FREEDMAN & JOHNSON & MUNOZ-TAPIA & VILASIS-CARDONA
 HULL & PALACIOS
 BEGIN & MATHIEU & WALTON
 NIEMI & TIRKKONEN
 KUNIBA & NAKANISHI
 DOWKER & CHANG
 DUNNE & RIUS
 LECLAIR & NEMESCHANSKY & WARNER
 IMAMURA & SAKAMOTO & SASADA & TABUSE
 ELIZALDE & ODINTSOV
 MANN
 SCHNITZER
 MINAHAN & POLYCHRONAKOS
 MEZINCESCU & NEPOMECHIE
 BRINK & HANSSON & VASILIEV
 MUNOZ-TAPIA
 DOREY & RAVANINI
 DORN & OTTO
 ABDALLA & ABDALLA & DALMAZI
 BANKS & O'LOUGHLIN
 SREDNICKI
 SABRA
 DALLEY & JOHNSON & MORRIS & WATTERSTAM
 NATSUUME
 AHARONY & SONNENSCHEIN & YANKIELOWICZ
 LAFRANCE & MYERS
 ALTHERR & GRANDOU
 JOHNSON & MORRIS & WHITE
 RUSSO & SUSSKIND & THORLACIUS
 HAMADA
 ANGLIN & MYERS
 ALLEN & BORDNER
 BAJNOK & PALLA & TAKACS
 DAS & SEZGIN & KHVIENGIA
 ELLIS & MAVROMATOS & NANOPOULOS
 NAPPI & WITTEN
 KALOPER
 GHOSHAL & JATKAR & MUKHI
 KAWAI & KITAZAWA & NINOMIYA
 DIXON
 SREDNICKI
 NOJIRI & ODA
 KORCHEMSKY
 ITOYAMA
 ARATYN & FERREIRA & GOMES & ZIMERMAN
 JONGHE & SIEBELINK & TROOST & VANDOREN & NIEUWENHUIZEN & PROEYEN
 ALFARO & DAMGAARD
 MANN
 BERGSHOEFF & SEZGIN
 PERIWAL
 AULAKH & SONI
 DUBOIS-VIOLETTE & HENNEAUX & TALON & VIALLET
 CHAUDHURI & LYKKEN
 KAWAI & UCHINO & YANG
 MAHAPATRA & MUKHERJI & SENGUPTA
 TSUTSUI & FEHER
 KLASSEN & MELZER
 MOROZ
 MIGDAL
 CATTERALL & KOGUT & RENKEN
 GAILLARD & XIU
 PRESKILL
 HINDMARSH
 STROBL
 OSORIO & VAZQUEZ-MOZO
 FRADKIN & MORENO & SCHAPOSNIK
 MIKOVIC
 ITO & MADSEN & PETERSEN
 ITO & MADSEN & PETERSEN
 SABRA
 FIGUEROA-O'FARRILL & MAS & RAMOS
 YANG
 MACKAY
 MAHARANA & SCHWARZ
 GUALZETTI & PENATI & ZANON
 AMBJORN & KRISTJANSEN & MAKEENKO
 GUNAYDIN
 MARCUS
 KAROWSKI & SCHRADER & FU-BERLIN
 GREENSITE
 FREEMAN & HORNFECK & WEST
 GANCHEV & PETKOVA
 GIDDINGS & STROMINGER
 SHAMIR
 RAVANINI & TATEO & VALLERIANI
 KETOV & NISHINO & GATES & JR
 SIEGEL
 ELIZALDE & ODINTSOV
 POLYCHRONAKOS & TZANI
 ERLER & JUNGNICKEL & SPALINSKI & STIEBERGER
 DELDUC & GALPERIN & HOWE & SOKATCHEV
 SATHIAPALAN
 SEN
 BOULWARE
 PANDA & ROY
 CARLINI & TREVES & FUCITO & MARTELLINI
 CONSTANTINIDIS & FERREIRA & GOMES & ZIMERMAN
 BIENKOWSKA & LU
 SAKAI & TANII
 KUTASOV
 DALLEY & KLEBANOV
 PAPADOPOULOS & SPENCE
 BERSHADSKY & LERCHE & NEMESCHANSKY & WARNER
 GOVAERTS
 RAVANINI & TATEO & VALLERIANI
 KASTOR & TRASCHEN
 HALPERN & OBERS
 BLUMENHAGEN & EHOLZER & HONECKER & HUEBEL
 EVANS & HOLLOWOOD
 POLITZER
 NOJIRI & ODA
 KANNO & SARMADI
 GRIFFIN
 GRIFFIN
 ASCHIERI & CASTELLANI
 BABICHENKO & ELITZUR
 CASELLE & D'ADDA & PANZERI
 FABBRICHESI & IENGO
 DE WIT & PROEYEN
 ALLEN
 DE ALWIS
 ALVAREZ-GAUME & BECKER & BECKER & EMPARAN & MANES
 ALFARO
 ILLUMINATI
 ILLUMINATI
 BONORA & BONSERVIZI
 ELLIS & MAVROMATOS & NANOPOULOS
 HAWKING & STEWART
 GOVINDARAJAN & JAYARAMAN & JOHN
 BELLINI
 BELLINI & ADEMOLLO & CIAFALONI
 BELLON & MAILLARD & ROLLET & VIALLET
 MYERS & PERIWAL
 BARS
 SENECHAL
 CANGEMI
 CASELLE & FIORE & GLIOZZI & VINTI
 AMBJORN & A & IRBACK & JURKIEWICZ & PETERSSON
 MIGDAL
 LA
 ZHITNITSKY
 AITCHISON & DOREY & KLEIN-KREISLER & MAVROMATOS
 HATA & NIIGATA
 ELLIS & MAVROMATOS & NANOPOULOS
 BARS & SFETSOS
 GROSS
 GAITE
 MAJID
 EVANS & TUCKEY
 MARTINS
 KOGAN & MOROZOV & SEMENOFF & WEISS
 KANTOWSKI & MARZBAN
 IMBIMBO
 GITMAN & SHELEPIN
 DESER & STEIF
 KHOKHLACHEV & MAKEENKO
 FARAGGI
 FARAGGI
 KALOPER
 ALVAREZ-GAUME & BARBON & CRNKOVIC
 WITTEN
 ANSELMI & FRE
 AMBJORN & DURHUUS & JONSSON & THORLEIFSSON
 DIJKGRAAF & MOORE & PLESSER
 AMBJORN & JURKIEWICZ & KRISTJANSEN
 BERKOVITS
 ROSS & MANN
 ASCHIERI & CASTELLANI
 ERLER & SPALINSKI
 SMITH
 AHARONY & GANOR & SONNENSCHEIN & YANKIELOWICZ
 SAVVIDY & SAVVIDY
 KHARCHEV & MARSHAKOV & MIRONOV & MOROZOV & PAKULIAK
 MAKEENKO
 KHARCHEV & MARSHAKOV & MIRONOV & MOROZOV
 LUCCHESI & PIGUET & SORELLA
 TOPPAN & ZHANG
 GITMAN & SAA
 MEURICE
 TANII
 BASTIANELLI & NIEUWENHUIZEN
 CHAKRABARTI & JOSHI
 FREUND & ZABRODIN
 GOVINDARAJAN & JAYARAMAN & JOHN
 ROY & PANDA
 IDZUMI & IOHARA & JIMBO & MIWA & NAKASHIMA & TOKIHIRO
 JIMBO & MIWA & OHTA
 BLUMENHAGEN
 HARMS & LEBLANC
 KHOKHLACHEV & MAKEENKO
 DE WIT & TOLLSTEN & NICOLAI
 GIVEON & PASQUINUCCI
 MATSUMURA & SAKAI & TANII & UCHINO
 NAPPI & PASQUINUCCI
 BRANDENBERGER & PROKOPEC & MUKHANOV
 MIGDAL
 MIGDAL
 GARRIGA & VILENKIN
 MARCH-RUSSELL
 FIGUEROA-O'FARRILL & RAMOS & STANCIU
 CHEN & SEMENOFF & WU
 ARATYN & NISSIMOV & PACHEVA & VAYSBURD
 LOWE
 ABADA & BOUGOURZI & GRADECHI
 ALDAZABAL & BONINI & MALDACENA
 WU & ZHU
 RUSSO & SUSSKIND & THORLACIUS
 SEN
 PAPADOPOULOS
 ANTONIADIS & BENAKLI
 BYTSENKO & ELIZALDE & ZERBINI
 TSEYTLIN
 HOLLOWOOD
 DAS & RAMA
 BAZEIA
 BEDAQUE & HORVATH & RAJEEV
 EHOLZER & HONECKER & HUEBEL
 BACHAS & PORRATI
 KALAU
 AVAN & JEVICKI
 BERGSHOEFF & SEVRIN & SHEN
 MORENO
 ROGERS & SPECTOR
 BONORA & XIONG
 GANNON
 GANNON
 BRUSTEIN & OVRUT
 DE VEGA & MIKHAILOV & SANCHEZ
 DALLEY & KLEBANOV
 GASPERINI & MAHARANA & VENEZIANO
 KULISH & SKLYANIN
 JEVICKI & RODRIGUES & TONDER
 KULISH
 MIZOGUCHI
 TEMPLE-RASTON & ALEXANDER
 SHEN
 BERGSHOEFF & BOONSTRA & DE ROO
 BRODA
 GREGORY & HARVEY
 PERRY & TEO
 MOROZOV
 DECKMYN
 BRUSTEIN & OVRUT
 DAS & GALVAO
 PERRET
 HINDMARSH & HOLMAN & KEPHART & VACHASPATI
 SCHRANS
 DURHUUS & JONSSON
 NOLASCO & REINA
 MOHAUPT
 GRANT
 BURDIK & CERNY & NAVRATIL
 BOWCOCK & WATTS
 KIM
 POPE & SEZGIN & STELLE & WANG
 YAMAGUCHI
 CHIKALOV & PASHNEV
 KALLOSH & PEET
 NOJIRI & ODA
 DEVCHAND & OGIEVETSKY
 LUKYANOV & SHATASHVILI
 DONETS & GAL'TSOV
 CARLIP
 BROWN & YORK
 GARAY & GARCIA-BELLIDO
 GOLTERMAN & JANSEN & KAPLAN
 BOWICK & CODDINGTON & HAN & HARRIS & MARINARI
 MIGDAL
 PRESKILL & VILENKIN
 BEDAQUE & DAS
 FEWSTER & KAY
 CARDY
 COGNOLA & VANZO
 KELLENDONK & RECKNAGEL
 SIEGEL
 LECLAIR & VAFA
 LANGMANN & SEMENOFF
 HORNE & HOROWITZ
 CHANG & DOWKER
 SCHWARZ & TSEYTLIN
 PARK & STROMINGER
 OSSA & QUEVEDO
 BRZEZINSKI & MAJID
 DESTRI & MARANER & ONOFRI
 WALDRAM
 BOULATOV
 ZEGWAARD
 ANGLIN
 CANGEMI & JACKIW
 FUJIWARA & IGARASHI & KUBO & MAEDA
 FREIDEL & MAILLET
 EHOLZER
 DIAMANDIS & GEORGALAS & MAINTAS & MAVROMATOS
 IVANOV & KRIVONOS & MALIK
 CURTRIGHT & ZACHOS
 PERCACCI & SEZGIN
 WITTEN
 DE WIT & VANDERSEYPEN & PROEYEN
 TRACY & WIDOM
 FILIPPOV & ISAEV & KURDIKOV
 BASTIANELLI
 ROSSINI & SCHAPOSNIK
 BYTSENKO & ELIZALDE & ODINTSOV & ZERBINI
 NISHINO
 BARDAKCI
 RAO & SEN
 DE ROO & SUELMANN & WIEDEMANN
 CARREAU
 MONTANO & RIVLIS
 DAS
 CARDOSO & OVRUT
 DHAR & MANDAL & WADIA
 HASSAN & SEN
 DUNBAR & JOSHI
 ISIDRO & LABASTIDA & RAMALLO
 GEHLEN & HONECKER
 SAGNOTTI
 AVAN & TALON
 BREKKE & DYKSTRA & FALK & IMBO
 FREEMAN & WEST
 GURUSWAMY & RAJEEV
 TOLLSTEN
 DE SANDE & PINSKY
 GALPERIN & OGIEVETSKY
 DICKEY
 FORSTE
 GERSHON
 GATES & NISHINO
 QIU
 TSAI & SHAPIR
 ISHIKAWA & UEDA
 GREENSITE
 HECHT & HEHL & MCCREA & MIELKE & NE'EMAN
 GELL-MANN & HARTLE
 HENKEL & PESCHANSKI
 SOTO & TZANI
 RITSCHEL
 KAPETANAKIS & MONDRAGON & ZOUPANOS
 DODELSON & GRADWOHL
 FARAGGI
 ISSE
 ELIZALDE & ODINTSOV
 PETERSEN
 TRIVEDI
 DANIELSSON
 DAS & GALVAO
 KALLOSH & ORTIN & PEET
 BENOIT & SAINT-AUBIN
 GAMBOA & RAMIREZ
 GRUNDBERG & LINDSTROM & NORDSTROM
 BERKOVITS
 STIEBERGER
 CHAICHIAN & GOMES & KULISH
 BANKS & O'LOUGHLIN & STROMINGER
 ISSE
 CASTELLANI
 NAHM & RECKNAGEL & TERHOEVEN
 KIM & LEE
 PARK
 DAVID & DUPLANTIER & GUITTER
 BERSHADSKY & LERCHE & NEMESCHANSKY & WARNER
 KHASTGIR & MAHARANA
 NISHINO
 BOYANOVSKY & DE VEGA
 SOLODUKHIN
 KREUZER & SKARKE
 ASOREY & ESTEVE & SALAS
 LEE & MENDE
 FRING & MUSSARDO & SIMONETTI
 GAUNTLETT & HARVEY & LIU
 RUSSO
 TSEYTLIN
 PERRY & TEO
 BOULATOV
 ZUPNIK
 JIMBO & MIWA & NAKAYASHIKI
 CAPPELLI & DUNNE & TRUGENBERGER & ZEMBA
 CLEAVER & LEWELLEN
 FERRARI
 MCKEON & REBHAN
 ISHIKAWA & KATO
 KIRITSIS
 MIKOVIC
 BAKAS & KIRITSIS
 RANDJBAR-DAEMI & STRATHDEE
 GERVAIS & O'RAIFEARTAIGH & RAZUMOV & SAVELIEV
 ISAEV & PYATOV
 MAZZITELLI & RUSSO
 BATALIN & TYUTIN
 SANO & SHIRAISHI
 CORTES & GAMBOA & VELAZQUEZ
 DE BOER & GOEREE
 DE BOER & GOEREE
 ALDROVANDI & BONORA & BONSERVIZI & PAUNOV
 DOREY & RAVANINI
 FELCE & SAMOLS
 ANSELMI & FRE'
 PETERSEN & TAORMINA
 ATKINSON & GUSYNIN & MARIS
 HAKOBYAN & SEDRAKYAN
 PERRET
 HONECKER
 VECCHIA & MOSHE
 BERNARD
 HAMADA & TSUCHIYA
 FRANCESCO & ZUBER
 SCHNITTGER & ELLWANGER
 PIRK
 HALLIWELL & ORTIZ
 CANGEMI & LEBLANC & MANN
 PELDAN
 MOHAMMEDI
 BEKENSTEIN
 GASPERINI & GIOVANNINI
 AMELINO-CAMELIA & PI
 LA
 BHANSALI & HSU
 BOS
 ARNOLD & BEDAQUE & DAS & VOKOS
 FAIRLIE & GOVAERTS
 BENDER & PINSKY & DE SANDE
 MATSUO
 DOBROLIUBOV & KOGAN & SEMENOFF & WEISS
 WEST
 LU & NILSSON & POPE & STELLE & WEST
 CARFORA & MARTELLINI & MARZUOLI
 LOWE
 HSU & KUTASOV
 KOVNER & ROSENSTEIN
 KHURI
 DHAR & MANDAL & WADIA
 SOLODUKHIN
 KHURI
 BERGSHOEFF & KALLOSH & ORTIN
 SEDRAKYAN
 KASTOR & TRASCHEN
 BERGSHOEFF & PERCACCI & SEZGIN & STELLE & TOWNSEND
 LANGMANN & SEMENOFF
 PAWELCZYK
