1992, B281,  Phys Lett, Bienkowska,  The generalized no-ghost theorem for N=2 SUSY critical strings
1992, B275,  PhysLett, Yoshii,  On Moduli Space of C=0 Topological Conformal Field Theories
1992, D45,  PhysRev, Callan & Giddings & Harvey & Strominger,  Evanescent Black Holes
1992, A7,  IntJModPhys, Odake,  Unitary Representations of $W$ Infinity Algebras
1992, B278,  Phys Lett, Gomis & Suzuki,  N=2 String as a Topological Conformal Algebra
1992, B277,  Phys Lett, Caselle & Gliozzi,  Self-avoiding effective strings in lattice gauge theories
1992, A7,  IntJModPhys, Ahn,  c=5/2 Free Fermion Model of WB_{2} Algebra
1992, B379,  Nucl Phys, Bowcock & Watts,  On the classification of quantum W-algebras
1992, B380,  NuclPhys, Kaul & Govindarajan,  Three Dimensional Chern-Simons Theory as a Theory of Knots and Links
1992, A7,  Mod Phys Lett, Dalley,  On Loop Equations In KdV Exactly Solvable String Theory
1993, D1,  IntJModPhys, Raiten,  Perturbations of a Stringy Black Hole
1993, B390,  NuclPhys, Schmidhuber,  Path Integral Over Conformally Self-Dual Geometries
1992, B277,  PhysLett, Schellekens,  Classification of Ten-Dimensional Heterotic Strings
1992, B277,  PhysLett, Delius & Grisaru & Zanon,  Exact s-Matrices for the Nonsimply-Laced Affine Toda Theories  $a_{2n-1}^{(2 }$
1992, D45,  PhysRev, Lee & Nair & Weinberg,  Black Holes in Magnetic Monopoles
1992, B379,  Nucl Phys, Marcus & Oz & Yankielowicz,  Harmonic Space, Self-Dual Yang Mills and the $N=2$ String
1992, B287,  Phys Lett, Kalara & Lopez & Nanopoulos,  Modular invariance and nonrenormalizable interactions
1992, B284,  Phys Lett, Lu & Pope & Wang & Xu,  N=2 Superstrings with (1,2m  Spacetime Signature
1992, B376,  Nucl Phys, Dienes & Tye,  Model-Building for Fractional Superstrings
1992, A7,  IntJModPhys, Miramontes & Guillen,  Universality and Non-Perturbative Definitions of 2D Quantum Gravity from  Matrix Models
1992, A7,  IntJModPhys, Alvarez-Gaume & Itoyama & Manes & Zadra,  Superloop Equations and Two Dimensional Supergravity
1992, B277,  Phys Lett, Jackiw & Kabat & Ortiz,  Electromagnetic fields of a massless particle and the eikonal
1992, A7,  IntJModPhys, Wong,  Recursion relations in semirigid topological gravity
1993, A8,  Mod Phys Lett, Ghoshal & Mahapatra,  Three-Point Functions of Non-Unitary Minimal Matter Coupled to Gravity
1992, B380,  Nucl Phys, Lassig,  Multiple Crossover Phenomena and Scale Hopping in Two Dimensions
1992, A7,  ModPhysLett, Govindarajan & Jayaraman & John & Majumdar,  States of non-zero ghost number in $c<1$ matter coupled to 2d gravity
1992, B277,  Phys Lett, Bastianelli,  A Novel Chiral Boson
1992, B376,  Nucl Phys, Bastianelli,  The Path Integral for a Particle in Curved Spaces and Weyl Anomalies
1992, B377,  NuclPhys, Bouwknegt & McCarthy & Pilch,  Ground ring for the 2D NSR string
1992, B384,  NuclPhys, Alford & Lee & March-Russell & Preskill,  Quantum Field Theory of Nonabelian Strings and Vortices
1992, B386,  NuclPhys, Bucher & Lo & Preskill,  Topological Approach to Alice Electrodynamics
1992, B386,  NuclPhys, Bucher & Lee & Preskill,  On Detecting Discrete Cheshire Charge
1992, B277,  PhysLett, Gasperini & Veneziano,  $O(d,d $-Covariant String Cosmology
1992, A7,  Int J Mod Phys, Lechtenfeld,  Semiclassical Approach to Finite-N Matrix Models
1992, B372,  Nucl Phys, Kreuzer & Schimmrigk & Skarke,  Abelian Landau--Ginzburg Orbifolds and Mirror Symmetry
1991, B257,  PhysLett, Zinn-Justin,  $O(N $ Vector Field Theories in the Double Scaling Limit
1992, B278,  PhysLett, Ferrara & Louis,  Flat Holomorphic Connections and Picard-Fuchs Identities From $N=2$  Supergravity
1992, B379,  Nucl Phys, Labastida & Llatas,  Topological Matter in Two Dimensions
1992, B279,  Phys Lett, Systems,  CSXiong
1992, B285,  PhysLett, Ahn & Shigemoto,  One-Point Functions of Loops and Constraints Equations of the  Multi-Matrix Models at finite N
1992, B376,  Nucl Phys, Space,  IKostov
1992, B381,  Nucl Phys, de Boer & Goeree,  W Gravity From Chern--Simons Theory
1992, B380,  Nucl Phys, Danielsson,  Symmetries and Special States in Two Dimensional String Theory
1992, B278,  PhysLett, Ellis & Mavromatos & Nanopoulos,  Quantum Mechanics and Black Holes in Four-Dimensional String Theory
1992, A7,  Mod Phys Lett, Francesco & Mathieu & Senechal,  Integrability of the quantum KdV equation at c = -2
1993, A8,  Int J Mod Phys, Blau & Thompson,  Topological gauge theories from supersymmetric quantum mechanics on  spaces of connections
1992, D45,  PhysRev, Dowker & Gregory & Traschen,  Euclidean Black Hole Vortices
1992, B380,  NuclPhys, Giveon & Rocek,  Generalized Duality in Curved String-Backgrounds
1992, B382,  Nucl Phys, Ooguri,  Partition Functions and Topology-Changing Amplitudes in the 3D Lattice  Gravity of Ponzano and Regge
1992, B6,  IntJModPhys, Fucito & Gamba & Martellini & Ragnisco,  Non-linear WKB Analysis of the String Equation
1992, B379,  Nucl Phys, Berkovits,  The Heterotic Green-Schwarz Superstring on an N=(2,0  Super-Worldsheet
1992, A7,  Mod Phys Lett, Klebanov,  Ward Identities in Two-Dimensional String Theory
1992, B279,  Phys Lett, Bernard,  On Symmetries of Some Massless 2D Field Theories
1992, B381,  NuclPhys, Cvetic & Griffies & Rey,  Static Domain Walls in N=1 Supergravity
1992, B282,  PhysLett, Matsuda,  Coulomb Gas Representations and Screening Operators of the N=4  Superconformal Algebras
1992, B278,  Phys Lett, Silverstein,  Large-Small Equivalence in String Theory
1992, B274,  Phys Lett, Marshakov & Mironov & Morozov,  On Equivalence of Topological and Quantum 2d Gravity
1992, A7,  Int J Mod Phys, Mironov & Zabrodin,  The Asymptotics of the Correlations Functions in $(1+1 d$ Quantum Field  Theory From Finite Size Effects in Conformal Theories
1992, B380,  Nucl Phys, Kharchev & Marshakov & Mironov & Morozov & Zabrodin,  Towards unified theory of $2d$ gravity
1992, A7,  ModPhysLett, Kar & Khastgir & Kumar,  An Algorithm to Generate Classical Solutions for String Effective Action
1992, B279,  PhysLett, Castellani,  Bicovariant Differential Calculus on the Quantum D=2 Poincare Group
1992, D45,  PhysRev, Seiberg & Shenker,  A Note on Background (In dependence
1992, B279,  Phys Lett, Dixon & Duff & Sezgin,  The Coupling of Yang-Mills to Extended Objects
1992, B368,  Nucl Phys, Galperin & Stelle,  The Superparticle and the Lorentz Group
1992, B382,  NuclPhys, Russo & Tseytlin,  Scalar-Tensor Quantum Gravity in Two Dimensions
1992, B293,  PhysLett, Aratyn & Ferreira & Gomes & Zimerman,  A New Deformation of W-Infinity and Applications to the Two-loop WZNW  and Conformal Affine Toda Models
1992, B282,  Phys Lett, Isidro & Labastida & Ramallo,  Coset Constructions in Chern-Simons Gauge Theory
1992, D46,  PhysRev, Gannon & Lam,  Can a Lattice String Have a Vanishing Cosmological Constant?
1992, B282,  Phys Lett, Kallosh,  Supersymmetric Black Holes
1992, A7,  IntJModPhys, Ferreira & Gomes & Ricotta & Zimerman,  Supersymmetric Construction of W-Algebras from Super Toda and Wznw  Theories
1992, B279,  Phys Lett, Ruiz--Altaba,  New Solutions to the Yang--Baxter Equation from Two--Dimensional  Representations of $U_q(sl(2  $ at Roots of Unit
1992, B277,  Phys Lett, Martins,  The thermodynamic Bethe ansatz for deformed W$A_{N-1}$ conformal field  theories
1992, A7,  ModPhysLett, Chekhov & Makeenko,  The Multicritical Kontsevich-Penner Model
1992, B379,  NuclPhys, Babelon & Talon,  Separation of variables for the classical and quantum Neumann model
1993, B393,  Nucl Phys, Spiegelglas & Yankielowicz,  $G/G$--Topological Field Theories by Cosetting $G_k$
1993, B393,  Nucl Phys, 14p,  Exact Bosonic and Supersymmetric String Black Hole Solutions
1992, B276,  Phys Lett, Carlini & Martellini,  Stabilizing the gravitational action and Coleman's solution to the  cosmological constant problem
1992, B280,  Phys Lett, Osorio & Vazquez-Mozo,  Strings below the Planck scale
1993, D47,  PhysRev, Khuri & La,  String Motion in Fivebrane Geometry
1992, A7,  Int J Mod Phys, Balachandran & Bimonte & Gupta & Stern,  The Chern-Simons Source as a Conformal Family and Its Vertex Operators
1992, B382,  NuclPhys, Smith,  Light-Cone Gauge for 1+1 Strings
1992, B385,  Nucl Phys, Lu & Pope & Schrans & Xu,  The Complete Spectrum of the $W_N$ String
1992, B284,  PhysLett, Maharana & mukherji,  Gauge Transformations in String Field Theory and canonical  Transformation in String Theory
1992, B281,  Phys Lett, de Alwis,  Comments on No-Hair Theorems and Stabilty of Blackholes
1992, B282,  Phys Lett, Green,  Temperature Dependence of String Theory in the Presence of World-Sheet  Boundaries
1992, B377,  NuclPhys, Witten & Zwiebach,  Algebraic Structures and Differential Geometry in 2D String Theory
1992, B378,  NuclPhys, Coleman & Preskill & Wilczek,  Quantum Hair on Black Holes
1992, A7,  IntJModPhys, Lina & Panigrahi,  Lax Pair Formulation of the W-gravity Theories in two Dimensions
1992, D45,  PhysRev, Banks & Dabolkhar & Douglas & Loughlin,  Are Horned Particles the Climax of Hawking Evaporation?
1992, A7,  Int J Mod Phys, Bimonte & Salomonson & Simoni & Stern,  Poisson bracket algebra for chiral group elements in the WZNW model
1993, B395,  Nucl Phys, Matsumura & Sakai & Tanii,  Coupling of Tachyons and Discrete States in $c = 1$ 2-D Gravity
1992, B382,  NuclPhys, Delius & Grisaru & Zanon,  Exact S-Matrices for Nonsimply-Laced Affine Toda Theories
1992, A7,  Mod Phys Lett, Martellini & Spreafico & Yoshida,  On the Black-Hole Conformal Field Theory Coupled to the Polyakov's  String Theory A Non Perturbative Analysis
1992, A7,  Mod Phys Lett, Martellini & Spreafico & Yoshida,  A continuum string model for $D>1$
1992, B283,  PhysLett, Chair & Dobrev & Kanno,  SO(2,C  invariant ring structure of BRST cohomology and singular vectors  in 2D gravity with c < 1 matter
1992, A7,  Mod Phys Lett, Kachru,  Quantum Rings and Recursion Relations in 2D Quantum Gravity
1992, B292,  PhysLett, Russo & Susskind & Thorlacius,  Black Hole Evaporation in 1+1 Dimensions
1992, B377,  Nucl Phys, Amano & Higuchi,  Topology change in ISO(2,1  Chern-Simons gravity
1992, B381,  Nucl Phys, Doyle,  Dilaton Contact Terms in the Bosonic and Heterotic Strings
1993, B394,  NuclPhys, Furlan & Ganchev & Paunov & Petkova,  Solutions of the Knizhnik - Zamolodchikov Equation with Rational  Isospins and the Reduction to the Minimal Models
1993, D47,  PhysRev, Chung & Tye,  Chiral Gauged WZW Theories and Coset Models in Conformal Field Theory
1992, B282,  Phys Lett, Kamionkowski & March-Russell,  Planck-Scale Physics and the Peccei-Quinn Mechanism
1992, D46,  PhysRev, Giddings & Strominger,  Dynamics of Extremal Black Holes
1995, D51,  PhysRev, Gershon,  Exact Solutions of Four Dimensional Black Holes in String Theory
1992, B278,  PhysLett, Chekhov & Makeenko,  A Hint on the External Field Problem for Matrix Models
1993, B391,  Nucl Phys, Argyres & Grochocinski & Tye,  Construction of the K=8 Fractional Superconformal Algebras
1992, B386,  Nucl Phys, Horava,  Two Dimensional String Theory and the Topological Torus
1992, B6,  Int J Mod Phys, Nagao,  Toward a Conformal Field Theory for the Quantum Hall Effect
1992, B380,  NuclPhys, Fendley & Intriligator,  Scattering and Thermodynamics of Integrable N=2 Theories
1992, B388,  Nucl Phys, Iso & Karabali & Sakita,  One-Dimensional Fermions as Two-Dimensional Droplets Via Chern-Simons  Theory
1992, A7,  ModPhysLett, Spiridonov,  Deformed Conformal and Supersymmetric Quantum Mechanics
1992, B380,  NuclPhys, Holzhey & Wilczek,  Black Holes as Elementary Particles
1992, A7,  Mod Phys Lett, Zwiebach,  Interpolating String Field Theories
1992, A7,  IntJModPhys, Linden & Perry,  Path Intergals and Perturbative Expansions for Non-Compact Symmetric  Spaces
1992, B385,  NuclPhys, Bruegmann & Gambini & Pullin,  Jones Polynomials for Intersecting Knots as Physical States of Quantum  Gravity
1993, B391,  NuclPhys, Ben-Menahem,  D=0 Matrix Model as Conjugate Field Theory
1992, B381,  Nucl Phys, Verlinde,  The Master Equation of 2D String Theory
1993, B396,  Nucl Phys, Ting & Lai,  Spinning Braid Group Representation and the Fractional Quantum Hall  Effect
1992, A7,  Int J Mod Phys, Holten,  BRST Field Theory of Relativistic Particles
1992, A7,  Mod Phys Lett, Ferretti & Rajeev,  $CP^N$ Model With a Chern-Simons Term
1992, B294,  PhysLett, Ahn,  RG Flows of Non-Unitary Minimal CFTs
1992, D46,  Phys Rev, Wiltshire,  Black Holes in Higher Derivative Gravity Theories
1992, B292,  Phys Lett, Papadopoulos & Spence,  The Canonical Structure of Wess-Zumino-Witten Models
1992, B382,  Nucl Phys, Klassen & Melzer,  Kinks in Finite Volume
1992, B282,  Phys Lett, Bilal,  Remarks on the BRST-cohomology for $c_M > 1$ matter coupled to  Liouville gravity"
1992, B377,  Nucl Phys, Cugliandolo & Schaposnik & Vucetich,  A Topological Model for Two Dimensional Gravity Coupled to Matter
1992, B282,  Phys Lett, Figueroa-O'Farrill & Ramos,  The Classical Limit of W-Algebras
1992, D45,  PhysRev, Girotti & Gomes & Rivelles,  Chiral Bosons Through Linear Constraints
1992, B297,  PhysLett, Lahiri,  An Alternative Scenario for Non-Abelian Quantum Hair
1992, A7,  ModPhysLett, Cohn & Dykstra,  The Marinari-Parisi Model and Collective Field Theory
1992, A7,  Mod Phys Lett, Balachandran & McGlinn & O'Raifeartaigh & Sen & Sorkin & Srivastava,  Topological Spin-Statistics Theorem for Strings
1991, D44,  PhysRev, Ashtekar & Rovelli & Smolin,  Gravitons and Loops
1992, B281,  Phys Lett, Fairlie & Govaerts,  Universal Field Equations with Reparametrisation Invariance
1992, B283,  Phys Lett, Ito & Madsen,  Hamiltonian Reduction and Classical Extended Superconformal Algebras
1992, B381,  Nucl Phys, Gaillard & Taylor,  Axion Couplings and Effective Cut-Offs in Superstring Compactifications
1992, B379,  Nucl Phys, Lu & Pope & Schrans & Wang,  On Sibling and Exceptional W Strings
1992, B381,  Nucl Phys, Bowcock,  Exceptional Superconformal Algebras
1992, A7,  ModPhysLett, Rodgers,  QCD Instantons and 2D Surfaces
1992, B385,  NuclPhys, Delius & Grisaru & Zanon,  Quantum Conserved Currents in Affine Toda Theories
1992, B386,  NuclPhys, Kausch & Watts,  Duality in Quantum Toda theory and W-algebras
1992, A7,  IntJModPhys, Shen,  W-Infinity and String Theory
